,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
77,ItoSmith,ATL,25,,14,0,63,268,8.0,182,2.9,86,1.4,2,31.5,1.0,24.0,4.3,19.1,1.0,ATL,20.0,11.0,6.0,16,9,11,3,0,0,bye,6,28.0,24,25.0,31.0,22.0,13.0,225.0,16.1,17.0,75.0
78,PatrickMahomes,KAN,25,QB,15,15,62,308,22.0,261,4.2,47,0.8,2,31.0,2.0,24.0,5.0,20.5,5.0,KC,69.0,77.0,75.0,0,72,73,41,54,62,bye,78,79.0,64,62.0,98.0,67.0,0.0,971.0,69.4,,
79,MattBreida,MIA,25,rb,12,1,59,254,11.0,162,2.7,92,1.6,2,29.5,0.0,24.0,4.3,21.2,2.0,MIA,14.0,17.0,11.0,17,21,16,bye,8,0,0,7,23.0,0,0.0,18.0,0.0,0.0,152.0,12.7,9.0,96.0
80,JustinJackson,LAC,24,rb,9,4,59,270,15.0,174,2.9,96,1.6,2,29.5,0.0,36.0,4.6,30.0,0.0,LAC,11.0,0.0,0.0,21,42,bye,31,41,3,0,0,0.0,0,11.0,0.0,8.0,22.0,190.0,21.1,19.0,173.0
81,ChristianMcCaffrey,CAR,24,rb,3,3,59,225,14.0,97,1.6,128,2.2,9,6.6,5.0,15.0,3.8,75.0,0.0,CAR,65.0,47.0,0.0,0,0,0,0,0,59,0,0,0.0,bye,0.0,0.0,0.0,0.0,171.0,57.0,17.0,149.0
82,JustinHerbert,LAC,22,QB,15,15,55,234,20.0,177,3.2,57,1.0,2,27.5,5.0,31.0,4.3,15.6,8.0,LAC,0.0,83.0,78.0,53,71,bye,79,87,78,63,82,83.0,72,73.0,66.0,57.0,72.0,1097.0,73.1,,
83,AlfredMorris,NYG,32,,9,0,55,238,13.0,115,2.1,123,2.2,3,18.3,1.0,20.0,4.3,26.4,0.0,NYG,0.0,0.0,0.0,0,0,0,0,21,16,15,bye,8.0,11,6.0,13.0,8.0,13.0,111.0,12.3,3.0,19.0
84,DevontaFreeman,NYG,28,,5,4,54,172,7.0,104,1.9,68,1.3,2,27.0,1.0,14.0,3.2,34.4,0.0,NYG,0.0,0.0,15.0,37,37,35,12,0,0,0,bye,0.0,0,0.0,0.0,0.0,0.0,136.0,27.2,7.0,58.0
85,TyJohnson,2TM,23,,13,1,54,254,11.0,155,2.9,99,1.8,1,54.0,1.0,34.0,4.7,19.5,0.0,Multi,0.0,5.0,0.0,0,0,4,0,6,2,0,14,10.0,39,20.0,22.0,18.0,34.0,174.0,13.4,16.0,99.0
86,BakerMayfield,CLE,25,QB,16,16,54,165,18.0,144,2.7,21,0.4,0,,1.0,28.0,3.1,10.3,8.0,CLE,73.0,58.0,63.0,75,73,42,52,49,bye,65,67,67.0,72,83.0,64.0,81.0,62.0,1046.0,65.4,1.0,6.0
87,TeddyBridgewater,CAR,28,QB,15,15,53,279,18.0,220,4.2,59,1.1,3,17.7,5.0,18.0,5.3,18.6,6.0,CAR,67.0,73.0,51.0,76,65,68,46,48,83,43,0,65.0,bye,67.0,69.0,67.0,39.0,927.0,61.8,,
88,KerryonJohnson,DET,23,rb,16,2,52,181,9.0,116,2.2,65,1.3,3,17.3,2.0,14.0,3.5,11.3,1.0,DET,20.0,19.0,20.0,11,bye,14,14,11,25,9,39,39.0,30,14.0,7.0,11.0,9.0,292.0,18.3,19.0,187.0
89,CarsonWentz,PHI,28,QB,12,12,52,276,25.0,150,2.9,126,2.4,4,13.0,5.0,40.0,5.3,23.0,10.0,PHI,68.0,71.0,91.0,62,59,72,80,63,bye,67,68,70.0,36,0.0,0.0,0.0,0.0,807.0,67.3,,
90,JaredGoff,LAR,26,QB,15,15,51,99,12.0,93,1.8,6,0.1,0,,4.0,10.0,1.9,6.6,7.0,LAR,73.0,69.0,69.0,57,68,60,0,95,bye,70,72,62.0,82,63.0,59.0,75.0,0.0,974.0,69.6,,
91,JeremyMcNichols,TEN,25,,16,0,47,204,8.0,103,2.2,101,2.1,5,9.4,1.0,20.0,4.3,12.8,0.0,TEN,13.0,11.0,9.0,bye,26,29,15,22,16,17,12,18.0,33,22.0,8.0,9.0,11.0,271.0,16.9,12.0,55.0
92,AJDillon,GNB,22,,11,0,46,242,11.0,100,2.2,142,3.1,6,7.7,2.0,30.0,5.3,22.0,0.0,GB,5.0,7.0,0.0,3,bye,10,14,10,0,0,0,0.0,0,0.0,5.0,38.0,5.0,97.0,8.8,2.0,21.0
93,DrewLock,DEN,24,QB,13,13,44,160,13.0,150,3.4,10,0.2,0,,3.0,16.0,3.6,12.3,8.0,DEN,59.0,13.0,0.0,0,bye,64,76,65,73,71,65,0.0,66,61.0,64.0,77.0,81.0,835.0,64.2,,
