,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
215,NickVannett,DEN,16,23,0,28,bye,29,35,11,11,10,41,20,30,45,16,15,31,361,24.1
216,SethDeValve,ARI,0,0,0,0,0,0,0,bye,0,0,0,0,2,27,0,19,0,48,12.0
217,StephenAnderson,LAC,11,4,5,3,0,bye,8,1,3,2,6,6,15,3,4,25,43,139,8.7
218,TemarrickHemingway,WAS,0,0,0,0,5,10,26,bye,1,1,10,9,0,0,0,0,0,62,7.8
219,JPHoltz,CHI,5,7,2,5,5,7,0,5,6,6,bye,11,1,5,7,9,2,83,5.5
220,GarrettGriffin,NO,0,0,0,22,18,bye,0,0,0,0,19,0,0,0,0,0,32,91,22.8
221,OJHoward,TB,37,34,33,28,0,0,0,0,0,0,0,0,bye,0,0,0,0,132,33.0
222,DavidNjoku,CLE,17,0,0,0,21,23,31,29,bye,23,34,40,30,51,31,31,49,410,31.5
223,EvanEngram,NYG,64,63,44,57,55,39,50,61,58,49,bye,78,40,42,43,50,44,837,52.3
224,JakeButt,DEN,16,7,18,34,bye,39,0,0,0,0,0,0,0,0,0,0,0,114,22.8
225,AdamShaheen,MIA,12,18,24,20,38,16,bye,16,24,22,13,25,26,37,43,15,19,368,23.0
226,GeraldEverett,LAR,24,30,28,33,30,30,0,52,bye,43,41,29,60,53,27,52,49,581,38.7
227,JonnuSmith,TEN,59,54,66,bye,57,29,40,50,52,47,52,54,0,41,63,40,41,745,49.7
228,JeremySprinkle,WAS,28,6,6,8,9,11,28,bye,5,4,12,20,13,15,19,11,23,218,13.6
229,GeorgeKittle,SF,61,0,0,72,64,71,60,46,0,0,bye,0,0,0,0,28,41,443,55.4
230,AntonyAuclair,TB,0,0,0,0,0,0,0,3,4,25,6,8,bye,14,0,0,10,70,8.8
231,RobertTonyan,GB,47,44,39,42,bye,37,31,46,41,40,44,41,38,41,39,39,28,637,39.8
232,JacobHollister,SEA,11,9,12,15,3,bye,23,26,31,6,13,37,39,37,40,33,41,376,23.5
233,MasonSchreck,CIN,0,0,1,3,0,2,15,2,bye,0,0,1,1,2,1,1,1,30,2.1
234,CethanCarter,CIN,1,7,9,20,13,23,0,16,bye,12,17,13,14,18,21,24,12,220,14.7
235,MoAlie-Cox,IND,30,49,35,33,21,0,bye,32,35,46,43,38,44,20,25,23,29,503,33.5
236,DarrellDaniels,ARI,14,43,38,27,50,44,41,bye,29,14,0,0,0,0,23,30,11,364,30.3
237,BlakeJarwin,DAL,25,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,25,25.0
238,EricSaubert,JAC,0,0,0,0,0,0,2,bye,0,0,31,9,17,9,12,4,10,94,11.8
239,RickySeals-Jones,KC,0,0,0,0,0,2,0,0,0,bye,0,0,0,0,0,4,0,6,3.0
240,JohnnyMundt,LAR,10,1,0,11,2,0,0,0,bye,14,6,3,7,1,0,6,14,75,5.0
241,JasonCroom,PHI,0,0,0,0,2,1,8,1,bye,0,0,0,0,0,0,0,0,12,3.0
242,AnthonyFirkser,TEN,32,14,19,bye,23,41,15,26,27,22,28,20,30,16,17,8,10,348,21.8
243,EvanBaylis,ARI,0,0,0,0,4,6,6,bye,0,0,6,21,0,0,0,0,0,43,8.6
244,SeanCulkin,BAL,0,0,0,0,0,0,bye,0,0,0,0,15,0,0,0,0,0,15,15.0
245,PharaohBrown,HOU,0,0,4,7,25,29,19,bye,25,18,27,31,5,0,17,27,38,272,20.9
246,DanArnold,ARI,45,56,31,31,27,26,21,bye,18,35,26,26,9,24,26,36,32,469,29.3
247,ColinThompson,CAR,0,1,2,17,14,9,4,10,6,14,22,24,bye,10,11,22,17,183,12.2
248,MarkAndrews,BAL,42,38,44,37,43,38,bye,51,38,50,56,0,0,40,34,45,42,598,42.7
249,DallasGoedert,PHI,54,63,6,0,0,0,0,54,bye,62,68,71,52,59,74,41,0,604,54.9
250,MikeGesicki,MIA,46,42,30,45,30,37,bye,28,43,28,43,50,49,43,0,45,64,623,41.5
